Prov Name,Province,District,Secteur,Cellule,Village,HH
North,Amajyaruguru,Burera,Butaro,Gatsibo,Rubonobono,108
North,Amajyaruguru,Burera,Butaro,Gatsibo,Rwabutama,87
North,Amajyaruguru,Burera,Butaro,Gatsibo,Rweru,106
North,Amajyaruguru,Burera,Butaro,Mubuga,Biyove,79
North,Amajyaruguru,Burera,Butaro,Mubuga,Bugeme,121
North,Amajyaruguru,Burera,Butaro,Mubuga,Gacyamo,87
North,Amajyaruguru,Burera,Butaro,Mubuga,Kirwa,97
North,Amajyaruguru,Burera,Butaro,Mubuga,Mulindi,74
North,Amajyaruguru,Burera,Butaro,Mubuga,Murambi,110
North,Amajyaruguru,Burera,Butaro,Mubuga,Musenyi,89
North,Amajyaruguru,Burera,Butaro,Mubuga,Nyanamo,60
North,Amajyaruguru,Burera,Butaro,Mubuga,Rupangu,79
North,Amajyaruguru,Burera,Butaro,Mubuga,Ryakagundu,109
North,Amajyaruguru,Burera,Butaro,Mubuga,Ryanturege,117
North,Amajyaruguru,Burera,Butaro,Muhotora,Bukaragata,85
North,Amajyaruguru,Burera,Butaro,Muhotora,Cyahera,59
North,Amajyaruguru,Burera,Butaro,Muhotora,Gahunge,55
North,Amajyaruguru,Burera,Butaro,Muhotora,Kabere,102
North,Amajyaruguru,Burera,Butaro,Muhotora,Karambi,61
North,Amajyaruguru,Burera,Butaro,Muhotora,Kibande,76
North,Amajyaruguru,Burera,Butaro,Muhotora,Kindege,60
North,Amajyaruguru,Burera,Butaro,Muhotora,Murambo,84
North,Amajyaruguru,Burera,Butaro,Muhotora,Murwa,115
North,Amajyaruguru,Burera,Butaro,Muhotora,Rugandu,45
North,Amajyaruguru,Burera,Butaro,Muhotora,Taba,113
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Burambira,97
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Gaceceri,108
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Gahira,70
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Gari,78
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Gasiza,109
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Gitovu,140
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Karingorera,105
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Kibingo,88
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Kiringa,129
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Murwa,157
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Musama,94
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Nkururo,73
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Nyamiyaga,89
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Rubaya,103
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Rugeshi,64
North,Amajyaruguru,Burera,Butaro,Nyamicucu,Rwemikore,70
North,Amajyaruguru,Burera,Butaro,Rusumo,Budogoro,78
North,Amajyaruguru,Burera,Butaro,Rusumo,Butaro,141
North,Amajyaruguru,Burera,Butaro,Rusumo,Buyanga,120
North,Amajyaruguru,Burera,Butaro,Rusumo,Cyasenge,176
North,Amajyaruguru,Burera,Butaro,Rusumo,Gitanda,71
North,Amajyaruguru,Burera,Butaro,Rusumo,Kabahura,100
North,Amajyaruguru,Burera,Butaro,Rusumo,Kabaya,97
North,Amajyaruguru,Burera,Butaro,Rusumo,Kabingo,99
North,Amajyaruguru,Burera,Butaro,Rusumo,Kamonyi,106
North,Amajyaruguru,Burera,Butaro,Rusumo,Kanyesogo,132
North,Amajyaruguru,Burera,Butaro,Rusumo,Mugari,112
North,Amajyaruguru,Burera,Butaro,Rusumo,Mugera,121
North,Amajyaruguru,Burera,Butaro,Rusumo,Mukeri,83
North,Amajyaruguru,Burera,Butaro,Rusumo,Musongati,58
North,Amajyaruguru,Burera,Butaro,Rusumo,Nyamiyaga,67
North,Amajyaruguru,Burera,Butaro,Rusumo,Runaba,98
North,Amajyaruguru,Burera,Cyanika,Gasiza,Bahimba,111
North,Amajyaruguru,Burera,Cyanika,Gasiza,Gahirikiro,130
North,Amajyaruguru,Burera,Cyanika,Gasiza,Gashunguru,120
North,Amajyaruguru,Burera,Cyanika,Gasiza,Kabona,107
North,Amajyaruguru,Burera,Cyanika,Gasiza,Karisimbi,180
North,Amajyaruguru,Burera,Cyanika,Gasiza,Kaziguro,98
North,Amajyaruguru,Burera,Cyanika,Gasiza,Nyamiyaga,131
North,Amajyaruguru,Burera,Cyanika,Gasiza,Rwankongi,168
North,Amajyaruguru,Burera,Cyanika,Gisovu,Gisovu,184
North,Amajyaruguru,Burera,Cyanika,Gisovu,Hanika,174
North,Amajyaruguru,Burera,Cyanika,Gisovu,Kamegeri,109
North,Amajyaruguru,Burera,Cyanika,Gisovu,Mataba,106
North,Amajyaruguru,Burera,Cyanika,Gisovu,Ruhimbi,139
North,Amajyaruguru,Burera,Cyanika,Gisovu,Rusenyi,90
North,Amajyaruguru,Burera,Cyanika,Gisovu,Rutango,108
North,Amajyaruguru,Burera,Cyanika,Gisovu,Samiro,110
North,Amajyaruguru,Burera,Cyanika,Kabyiniro,Butete,138
North,Amajyaruguru,Burera,Cyanika,Kabyiniro,Kabadari,150
North,Amajyaruguru,Burera,Cyanika,Kabyiniro,Mbonabose,115
North,Amajyaruguru,Burera,Cyanika,Kabyiniro,Mugarama,178
North,Amajyaruguru,Burera,Cyanika,Kabyiniro,Mugeshi,151
North,Amajyaruguru,Burera,Cyanika,Kabyiniro,Nkiriza,158
North,Amajyaruguru,Burera,Cyanika,Kabyiniro,Nyagisenyi,143
North,Amajyaruguru,Burera,Cyanika,Kabyiniro,Zindiro,145
North,Amajyaruguru,Burera,Cyanika,Kagitega,Gasebeya,140
North,Amajyaruguru,Burera,Cyanika,Kagitega,Kabaya,144
North,Amajyaruguru,Burera,Cyanika,Kagitega,Kagerero,155
North,Amajyaruguru,Burera,Cyanika,Kagitega,Karambo,137
North,Amajyaruguru,Burera,Cyanika,Kagitega,Kidaho,248
North,Amajyaruguru,Burera,Cyanika,Kagitega,Munini,196
North,Amajyaruguru,Burera,Cyanika,Kagitega,Ntarama,157
North,Amajyaruguru,Burera,Cyanika,Kagitega,Sirwa,155
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Gasiza,152
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Gasovu,123
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Kabira,133
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Kavunda,105
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Kibaya,111
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Majyambere,134
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Nyarutosho,132
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Runyenkanda,212
North,Amajyaruguru,Burera,Cyanika,Kamanyana,Ryabiteyi,136
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Bisura,113
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Gahama,117
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Gahonga,108
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Gakenke,133
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Kabande,94
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Kabyimana,122
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Kanyabaranzi,146
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Kebero,138
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Mashango,161
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Musave,164
North,Amajyaruguru,Burera,Cyanika,Nyagahinga,Ruko,157
North,Amajyaruguru,Burera,Cyeru,Butare,Butare,164
North,Amajyaruguru,Burera,Cyeru,Butare,Gatare,174
North,Amajyaruguru,Burera,Cyeru,Butare,Kamata,109
North,Amajyaruguru,Burera,Cyeru,Butare,Kamonyi,144
North,Amajyaruguru,Burera,Cyeru,Butare,Musama,86
North,Amajyaruguru,Burera,Cyeru,Butare,Nyaruyove,133
North,Amajyaruguru,Burera,Cyeru,Butare,Ryandahagaze,78
North,Amajyaruguru,Burera,Cyeru,Ndongozi,Kabagenza,120
North,Amajyaruguru,Burera,Cyeru,Ndongozi,Ntazi,167
North,Amajyaruguru,Burera,Cyeru,Ndongozi,Nterura,93
North,Amajyaruguru,Burera,Cyeru,Ndongozi,Nyagisozi,107
North,Amajyaruguru,Burera,Cyeru,Ndongozi,Nyamusanze,108
North,Amajyaruguru,Burera,Cyeru,Ndongozi,Rujanja,178
North,Amajyaruguru,Burera,Cyeru,Ndongozi,Ryaruhirima,190
North,Amajyaruguru,Burera,Cyeru,Ruyange,Bitagara,69
North,Amajyaruguru,Burera,Cyeru,Ruyange,Burabwa,128
North,Amajyaruguru,Burera,Cyeru,Ruyange,Gatagara-jite,118
North,Amajyaruguru,Burera,Cyeru,Ruyange,Kabaya,84
North,Amajyaruguru,Burera,Cyeru,Ruyange,Ngambi,62
North,Amajyaruguru,Burera,Cyeru,Ruyange,Rihiro,75
North,Amajyaruguru,Burera,Cyeru,Ruyange,Rugarama,80
North,Amajyaruguru,Burera,Cyeru,Ruyange,Runyenyeri,88
North,Amajyaruguru,Burera,Cyeru,Ruyange,Susa,65
North,Amajyaruguru,Burera,Gahunga,Buramba,Buramba,140
North,Amajyaruguru,Burera,Gahunga,Buramba,Gafatangwe,109
North,Amajyaruguru,Burera,Gahunga,Buramba,Gasenyi,99
North,Amajyaruguru,Burera,Gahunga,Buramba,Kagoma,141
North,Amajyaruguru,Burera,Gahunga,Buramba,Karuheshyi,132
North,Amajyaruguru,Burera,Gahunga,Buramba,Murambi,171
North,Amajyaruguru,Burera,Gahunga,Buramba,Musanzu,118
North,Amajyaruguru,Burera,Gahunga,Gisizi,Gisizi,120
North,Amajyaruguru,Burera,Gahunga,Gisizi,Kabagabo,107
North,Amajyaruguru,Burera,Gahunga,Gisizi,Kanaba,168
North,Amajyaruguru,Burera,Gahunga,Gisizi,Kigote,202
North,Amajyaruguru,Burera,Gahunga,Gisizi,Nyagasozi,59
North,Amajyaruguru,Burera,Gahunga,Gisizi,Ruri,156
North,Amajyaruguru,Burera,Gahunga,Kidakama,Bahenga,132
North,Amajyaruguru,Burera,Gahunga,Kidakama,Kabarima,128
North,Amajyaruguru,Burera,Gahunga,Kidakama,Kabindi,166
North,Amajyaruguru,Burera,Gahunga,Kidakama,Kajevuba,102
North,Amajyaruguru,Burera,Gahunga,Kidakama,Kangoma,107
North,Amajyaruguru,Burera,Gahunga,Kidakama,Kanyendara,100
North,Amajyaruguru,Burera,Gahunga,Kidakama,Kidakama,119
North,Amajyaruguru,Burera,Gahunga,Kidakama,Mubuga,168
North,Amajyaruguru,Burera,Gahunga,Kidakama,Nangimbibi,74
North,Amajyaruguru,Burera,Gahunga,Kidakama,Rusenyi,149
North,Amajyaruguru,Burera,Gahunga,Kidakama,Songa,132
North,Amajyaruguru,Burera,Gahunga,Nyangwe,Bihanga,126
North,Amajyaruguru,Burera,Gahunga,Nyangwe,Gasagara,141
North,Amajyaruguru,Burera,Gahunga,Nyangwe,Gikoro,139
North,Amajyaruguru,Burera,Gahunga,Nyangwe,Kamatanda,108
North,Amajyaruguru,Burera,Gahunga,Nyangwe,Mubibi,114
North,Amajyaruguru,Burera,Gahunga,Nyangwe,Ntenyo,142
North,Amajyaruguru,Burera,Gahunga,Nyangwe,Nyangwe,109
North,Amajyaruguru,Burera,Gahunga,Nyangwe,Remera,125
North,Amajyaruguru,Burera,Gahunga,Rwasa,Gitagata,121
North,Amajyaruguru,Burera,Gahunga,Rwasa,Kabanga,119
North,Amajyaruguru,Burera,Gahunga,Rwasa,Kangoboka,116
North,Amajyaruguru,Burera,Gahunga,Rwasa,Kanyiramusengo,163
North,Amajyaruguru,Burera,Gahunga,Rwasa,Mirigari,148
North,Amajyaruguru,Burera,Gahunga,Rwasa,Mutara,217
North,Amajyaruguru,Burera,Gahunga,Rwasa,Nyangezi,135
North,Amajyaruguru,Burera,Gatebe,Gabiro,Gatebe,110
North,Amajyaruguru,Burera,Gatebe,Gabiro,Ginga,112
North,Amajyaruguru,Burera,Gatebe,Gabiro,Kabuga,118
North,Amajyaruguru,Burera,Gatebe,Gabiro,Kagano,69
North,Amajyaruguru,Burera,Gatebe,Gabiro,Kajerijeri,105
North,Amajyaruguru,Burera,Gatebe,Gabiro,Nyakabungo,121
North,Amajyaruguru,Burera,Gatebe,Gabiro,Rugarama,128
North,Amajyaruguru,Burera,Gatebe,Gabiro,Ryaruyumbu,106
North,Amajyaruguru,Burera,Gatebe,Gabiro,Zihare,58
North,Amajyaruguru,Burera,Gatebe,Musenda,Bikumba,181
North,Amajyaruguru,Burera,Gatebe,Musenda,Cyankaranka,141
North,Amajyaruguru,Burera,Gatebe,Musenda,Kabayoboke,142
North,Amajyaruguru,Burera,Gatebe,Musenda,Kabuga,155
North,Amajyaruguru,Burera,Gatebe,Musenda,Muremure,127
North,Amajyaruguru,Burera,Gatebe,Musenda,Nyamahunge,94
North,Amajyaruguru,Burera,Gatebe,Musenda,Rushaki,141
North,Amajyaruguru,Burera,Gatebe,Musenda,Sabukima,138
North,Amajyaruguru,Burera,Gatebe,Musenda,Sunzu,145
North,Amajyaruguru,Burera,Gatebe,Rwambogo,Cyili,144
North,Amajyaruguru,Burera,Gatebe,Rwambogo,Mubuga,122
North,Amajyaruguru,Burera,Gatebe,Rwambogo,Murambo,89
North,Amajyaruguru,Burera,Gatebe,Rwambogo,Ruhinga,115
North,Amajyaruguru,Burera,Gatebe,Rwambogo,Rutete,150
North,Amajyaruguru,Burera,Gatebe,Rwambogo,Taba,135
North,Amajyaruguru,Burera,Gatebe,Rwasa,Karambi,74
North,Amajyaruguru,Burera,Gatebe,Rwasa,Kiyogera,77
North,Amajyaruguru,Burera,Gatebe,Rwasa,Murambo,90
North,Amajyaruguru,Burera,Gatebe,Rwasa,Nganzo,108
North,Amajyaruguru,Burera,Gatebe,Rwasa,Rugarama,155
North,Amajyaruguru,Burera,Gatebe,Rwasa,Rutovu,150
North,Amajyaruguru,Burera,Gitovu,Mariba,Buhembe,77
North,Amajyaruguru,Burera,Gitovu,Mariba,Cyogo,94
North,Amajyaruguru,Burera,Gitovu,Mariba,Kiboga,89
North,Amajyaruguru,Burera,Gitovu,Mariba,Mariba,85
North,Amajyaruguru,Burera,Gitovu,Mariba,Musekera,89
North,Amajyaruguru,Burera,Gitovu,Mariba,Mwungura,55
North,Amajyaruguru,Burera,Gitovu,Mariba,Rusuzuma,94
North,Amajyaruguru,Burera,Gitovu,Musasa,Butanga,90
North,Amajyaruguru,Burera,Gitovu,Musasa,Gashiru,121
North,Amajyaruguru,Burera,Gitovu,Musasa,Gicura,101
North,Amajyaruguru,Burera,Gitovu,Musasa,Kamusaba,105
North,Amajyaruguru,Burera,Gitovu,Musasa,Kibumbiro,100
North,Amajyaruguru,Burera,Gitovu,Musasa,Murore,83
North,Amajyaruguru,Burera,Gitovu,Musasa,Mutara,53
North,Amajyaruguru,Burera,Gitovu,Musasa,Ruhombo,114
North,Amajyaruguru,Burera,Gitovu,Musasa,Shyamba,110
North,Amajyaruguru,Burera,Gitovu,Musasa,Sina,79
North,Amajyaruguru,Burera,Gitovu,Runoga,Gitwe,97
North,Amajyaruguru,Burera,Gitovu,Runoga,Kiraro,121
North,Amajyaruguru,Burera,Gitovu,Runoga,Mubuga,112
North,Amajyaruguru,Burera,Gitovu,Runoga,Musekera,142
North,Amajyaruguru,Burera,Gitovu,Runoga,Mutungu,156
North,Amajyaruguru,Burera,Gitovu,Runoga,Siganiro,102
North,Amajyaruguru,Burera,Kagogo,Kabaya,Bihanga,107
North,Amajyaruguru,Burera,Kagogo,Kabaya,Butare,103
North,Amajyaruguru,Burera,Kagogo,Kabaya,Kanaba,110
North,Amajyaruguru,Burera,Kagogo,Kabaya,Murambi,103
North,Amajyaruguru,Burera,Kagogo,Kabaya,Rukenke,83
North,Amajyaruguru,Burera,Kagogo,Kayenzi,Gatare,145
North,Amajyaruguru,Burera,Kagogo,Kayenzi,Kaguriro,144
North,Amajyaruguru,Burera,Kagogo,Kayenzi,Kiyira,113
North,Amajyaruguru,Burera,Kagogo,Kayenzi,Mubaya,84
North,Amajyaruguru,Burera,Kagogo,Kayenzi,Ngobori,99
North,Amajyaruguru,Burera,Kagogo,Kayenzi,Rukoro,138
North,Amajyaruguru,Burera,Kagogo,Kayenzi,Rusisiro,136
North,Amajyaruguru,Burera,Kagogo,Kayenzi,Rwitongo,112
North,Amajyaruguru,Burera,Kagogo,Kiringa,Gisanze,78
North,Amajyaruguru,Burera,Kagogo,Kiringa,Karambi,77
North,Amajyaruguru,Burera,Kagogo,Kiringa,Kariba,103
North,Amajyaruguru,Burera,Kagogo,Kiringa,Karombero,109
North,Amajyaruguru,Burera,Kagogo,Kiringa,Kigote,84
North,Amajyaruguru,Burera,Kagogo,Kiringa,Kirigari,113
North,Amajyaruguru,Burera,Kagogo,Kiringa,Musangabo,215
North,Amajyaruguru,Burera,Kagogo,Kiringa,Nyamuha,89
North,Amajyaruguru,Burera,Kagogo,Kiringa,Rusenyi,87
North,Amajyaruguru,Burera,Kagogo,Kiringa,Rwabageni,139
North,Amajyaruguru,Burera,Kagogo,Kiringa,Ryangarama,69
North,Amajyaruguru,Burera,Kagogo,Nyamabuye,Gitare,106
North,Amajyaruguru,Burera,Kagogo,Nyamabuye,Kabana,111
North,Amajyaruguru,Burera,Kagogo,Nyamabuye,Kabashotsi,154
North,Amajyaruguru,Burera,Kagogo,Nyamabuye,Kikubo,149
North,Amajyaruguru,Burera,Kagogo,Nyamabuye,Mfashe,155
North,Amajyaruguru,Burera,Kagogo,Nyamabuye,Musarara,157
North,Amajyaruguru,Burera,Kagogo,Nyamabuye,Nyarubuye,208
North,Amajyaruguru,Burera,Kagogo,Nyamabuye,Nyarugina,134
North,Amajyaruguru,Burera,Kinoni,Gafuka,Basumba,131
North,Amajyaruguru,Burera,Kinoni,Gafuka,Bugeyo,173
North,Amajyaruguru,Burera,Kinoni,Gafuka,Buharo,105
North,Amajyaruguru,Burera,Kinoni,Gafuka,Kabeza,194
North,Amajyaruguru,Burera,Kinoni,Gafuka,Kanoni,149
North,Amajyaruguru,Burera,Kinoni,Gafuka,Ntwana,180
North,Amajyaruguru,Burera,Kinoni,Gafuka,Nyagafunzo,127
North,Amajyaruguru,Burera,Kinoni,Nkenke,Birwa,87
North,Amajyaruguru,Burera,Kinoni,Nkenke,Kigina,142
North,Amajyaruguru,Burera,Kinoni,Nkenke,Kigugu,139
North,Amajyaruguru,Burera,Kinoni,Nkenke,Nyagatoki,116
North,Amajyaruguru,Burera,Kinoni,Nkenke,Sunzu,123
North,Amajyaruguru,Burera,Kinoni,Nkumba,Cyanya,124
North,Amajyaruguru,Burera,Kinoni,Nkumba,Cyivugiza,206
North,Amajyaruguru,Burera,Kinoni,Nkumba,Kabaguma,152
North,Amajyaruguru,Burera,Kinoni,Nkumba,Karambo,100
North,Amajyaruguru,Burera,Kinoni,Nkumba,Mbaya,176
North,Amajyaruguru,Burera,Kinoni,Nkumba,Mubuga,113
North,Amajyaruguru,Burera,Kinoni,Nkumba,Mutabo,155
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Cyamabuye,118
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Gikoro,258
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Kabaya,106
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Karuganda,125
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Nyabagenzi,73
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Nyarubuye,74
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Nyarurembo,116
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Ryamakoro,186
North,Amajyaruguru,Burera,Kinoni,Ntaruka,Shenyi,82
North,Amajyaruguru,Burera,Kinyababa,Bugamba,Cyogo,124
North,Amajyaruguru,Burera,Kinyababa,Bugamba,Gacaca,117
North,Amajyaruguru,Burera,Kinyababa,Bugamba,Gako,141
North,Amajyaruguru,Burera,Kinyababa,Bugamba,Gatare,138
North,Amajyaruguru,Burera,Kinyababa,Bugamba,Kabingo,144
North,Amajyaruguru,Burera,Kinyababa,Bugamba,Matyazo,120
North,Amajyaruguru,Burera,Kinyababa,Bugamba,Ndabizi,96
North,Amajyaruguru,Burera,Kinyababa,Bugamba,Rukore,81
North,Amajyaruguru,Burera,Kinyababa,Kaganda,Gisirwe,144
North,Amajyaruguru,Burera,Kinyababa,Kaganda,Kiraro,121
North,Amajyaruguru,Burera,Kinyababa,Kaganda,Mariko,198
North,Amajyaruguru,Burera,Kinyababa,Kaganda,Murambo,137
North,Amajyaruguru,Burera,Kinyababa,Kaganda,Ruhinga,134
North,Amajyaruguru,Burera,Kinyababa,Kaganda,Rusebeya,125
North,Amajyaruguru,Burera,Kinyababa,Kaganda,Rwahondo,142
North,Amajyaruguru,Burera,Kinyababa,Musasa,Gitoma,146
North,Amajyaruguru,Burera,Kinyababa,Musasa,Kabarore,139
North,Amajyaruguru,Burera,Kinyababa,Musasa,Kanyaminyinya,163
North,Amajyaruguru,Burera,Kinyababa,Musasa,Murambo,169
North,Amajyaruguru,Burera,Kinyababa,Musasa,Rukaya,136
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Gisiriri,94
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Gitenge,136
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Karambo,100
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Kavumu,144
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Musaga,153
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Nyabizi I,128
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Nyabizi II,108
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Nyabizi III,120
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Rubayu,149
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Ryatamba,110
North,Amajyaruguru,Burera,Kinyababa,Rutovu,Shaga,137
North,Amajyaruguru,Burera,Kivuye,Bukwashuri,Buhita,137
North,Amajyaruguru,Burera,Kivuye,Bukwashuri,Gitovu,100
North,Amajyaruguru,Burera,Kivuye,Bukwashuri,Murambo,107
North,Amajyaruguru,Burera,Kivuye,Bukwashuri,Nyakira,119
North,Amajyaruguru,Burera,Kivuye,Bukwashuri,Nyamisare,92
North,Amajyaruguru,Burera,Kivuye,Bukwashuri,Nyarutovu,113
North,Amajyaruguru,Burera,Kivuye,Gashanje,Bitukura,107
North,Amajyaruguru,Burera,Kivuye,Gashanje,Burango,147
North,Amajyaruguru,Burera,Kivuye,Gashanje,Gafumba,122
North,Amajyaruguru,Burera,Kivuye,Gashanje,Gashiru,74
North,Amajyaruguru,Burera,Kivuye,Gashanje,Karambo,102
North,Amajyaruguru,Burera,Kivuye,Gashanje,Nyakabungo,126
North,Amajyaruguru,Burera,Kivuye,Gashanje,Rugarambiro,140
North,Amajyaruguru,Burera,Kivuye,Murwa,Gasiza,145
North,Amajyaruguru,Burera,Kivuye,Murwa,Gatare,155
North,Amajyaruguru,Burera,Kivuye,Murwa,Kabaya,119
North,Amajyaruguru,Burera,Kivuye,Murwa,Muhambo,103
North,Amajyaruguru,Burera,Kivuye,Murwa,Rubara,113
North,Amajyaruguru,Burera,Kivuye,Murwa,Rucyamo,123
North,Amajyaruguru,Burera,Kivuye,Murwa,Rusasa,174
North,Amajyaruguru,Burera,Kivuye,Murwa,Vumage,80
North,Amajyaruguru,Burera,Kivuye,Nyirataba,Buganza,161
North,Amajyaruguru,Burera,Kivuye,Nyirataba,Bukumbi,79
North,Amajyaruguru,Burera,Kivuye,Nyirataba,Kabasha,151
North,Amajyaruguru,Burera,Kivuye,Nyirataba,Kanyenzugi,114
North,Amajyaruguru,Burera,Kivuye,Nyirataba,Kivumo,137
North,Amajyaruguru,Burera,Kivuye,Nyirataba,Mushunga,169
North,Amajyaruguru,Burera,Kivuye,Nyirataba,Shanja,72
North,Amajyaruguru,Burera,Nemba,Kivumu,Gashushura,272
North,Amajyaruguru,Burera,Nemba,Kivumu,Kigeyo,182
North,Amajyaruguru,Burera,Nemba,Kivumu,Mugano,182
North,Amajyaruguru,Burera,Nemba,Kivumu,Nyamusanze,148
North,Amajyaruguru,Burera,Nemba,Kivumu,Songorero,189
North,Amajyaruguru,Burera,Nemba,Nyamugari,Cyabami,164
North,Amajyaruguru,Burera,Nemba,Nyamugari,Kagihanga,157
North,Amajyaruguru,Burera,Nemba,Nyamugari,Karyango,179
North,Amajyaruguru,Burera,Nemba,Nyamugari,Muhondo,109
North,Amajyaruguru,Burera,Nemba,Nyamugari,Nyagahondo,141
North,Amajyaruguru,Burera,Nemba,Nyamugari,Nyiraruhuha,156
North,Amajyaruguru,Burera,Nemba,Nyamugari,Ryaruhirima,157
North,Amajyaruguru,Burera,Nemba,Nyamugari,Shorezo,116
North,Amajyaruguru,Burera,Nemba,Rubona,Bugarigari,131
North,Amajyaruguru,Burera,Nemba,Rubona,Bukenyeye,101
